#At	time	x	process	y	state	arr	w	total	z	remain	y	wait	k
At	time	1	process	1	started	arr	1	total	12	remain	12	wait	0
At	time	2	process	1	started	arr	1	total	12	remain	11	wait	0
At	time	3	process	1	started	arr	1	total	12	remain	10	wait	0
At	time	4	process	1	started	arr	1	total	12	remain	9	wait	0
At	time	4	process	2	started	arr	1	total	8	remain	8	wait	3
At	time	5	process	2	started	arr	1	total	8	remain	7	wait	3
At	time	6	process	2	started	arr	1	total	8	remain	6	wait	3
At	time	7	process	2	started	arr	1	total	8	remain	5	wait	3
At	time	7	process	3	started	arr	1	total	9	remain	9	wait	6
At	time	8	process	3	started	arr	1	total	9	remain	8	wait	6
At	time	9	process	3	started	arr	1	total	9	remain	7	wait	6
At	time	10	process	3	started	arr	1	total	9	remain	6	wait	6
At	time	10	process	4	started	arr	1	total	5	remain	5	wait	9
At	time	11	process	4	started	arr	1	total	5	remain	4	wait	9
At	time	12	process	4	started	arr	1	total	5	remain	3	wait	9
At	time	13	process	4	started	arr	1	total	5	remain	2	wait	9
At	time	13	process	5	started	arr	1	total	8	remain	8	wait	12
At	time	14	process	5	started	arr	1	total	8	remain	7	wait	12
At	time	15	process	5	started	arr	1	total	8	remain	6	wait	12
At	time	16	process	5	started	arr	1	total	8	remain	5	wait	12
At	time	16	process	6	started	arr	1	total	10	remain	10	wait	15
At	time	17	process	6	started	arr	1	total	10	remain	9	wait	15
At	time	18	process	6	started	arr	1	total	10	remain	8	wait	15
At	time	19	process	6	started	arr	1	total	10	remain	7	wait	15
At	time	19	process	7	started	arr	1	total	6	remain	6	wait	18
At	time	20	process	7	started	arr	1	total	6	remain	5	wait	18
At	time	21	process	7	started	arr	1	total	6	remain	4	wait	18
At	time	22	process	7	started	arr	1	total	6	remain	3	wait	18
At	time	22	process	8	started	arr	1	total	3	remain	3	wait	21
At	time	23	process	8	started	arr	1	total	3	remain	2	wait	21
At	time	24	process	8	started	arr	1	total	3	remain	1	wait	21
At	time	25	process	8	started	arr	1	total	3	remain	0	wait	21
At	time	25	process	8	finished	arr	1	total	3	remain	0	wait	21	TA	24	WTA	8.00
At	time	25	process	1	started	arr	1	total	12	remain	9	wait	24
At	time	26	process	1	started	arr	1	total	12	remain	8	wait	24
At	time	27	process	1	started	arr	1	total	12	remain	7	wait	24
At	time	28	process	1	started	arr	1	total	12	remain	6	wait	24
At	time	28	process	2	started	arr	1	total	8	remain	5	wait	27
At	time	29	process	2	started	arr	1	total	8	remain	4	wait	27
At	time	30	process	2	started	arr	1	total	8	remain	3	wait	27
At	time	31	process	2	started	arr	1	total	8	remain	2	wait	27
At	time	31	process	3	started	arr	1	total	9	remain	6	wait	30
At	time	32	process	3	started	arr	1	total	9	remain	5	wait	30
At	time	33	process	3	started	arr	1	total	9	remain	4	wait	30
At	time	34	process	3	started	arr	1	total	9	remain	3	wait	30
At	time	34	process	4	started	arr	1	total	5	remain	2	wait	33
At	time	35	process	4	started	arr	1	total	5	remain	1	wait	33
At	time	36	process	4	started	arr	1	total	5	remain	0	wait	33
At	time	36	process	4	finished	arr	1	total	5	remain	0	wait	33	TA	35	WTA	7.00
At	time	36	process	5	started	arr	1	total	8	remain	5	wait	35
At	time	37	process	5	started	arr	1	total	8	remain	4	wait	35
At	time	38	process	5	started	arr	1	total	8	remain	3	wait	35
At	time	39	process	5	started	arr	1	total	8	remain	2	wait	35
At	time	39	process	6	started	arr	1	total	10	remain	7	wait	38
At	time	40	process	6	started	arr	1	total	10	remain	6	wait	38
At	time	41	process	6	started	arr	1	total	10	remain	5	wait	38
At	time	42	process	6	started	arr	1	total	10	remain	4	wait	38
At	time	42	process	7	started	arr	1	total	6	remain	3	wait	41
At	time	43	process	7	started	arr	1	total	6	remain	2	wait	41
At	time	44	process	7	started	arr	1	total	6	remain	1	wait	41
At	time	45	process	7	started	arr	1	total	6	remain	0	wait	41
